"ZipRange","StartZip","EndZip","Zone"
"49801-49802","49801","49802","5"
"49858-49858","49858","49858","5"
"49870-49870","49870","49870","5"
"49876-49876","49876","49876","5"
"49938-49938","49938","49938","5"
"50001-50399","50001","50399","5"
"50401-50599","50401","50599","4"
"50601-50999","50601","50999","5"
"51001-51499","51001","51499","4"
"51501-51699","51501","51699","5"
"52001-52899","52001","52899","5"
"53001-53299","53001","53299","5"
"53401-53599","53401","53599","5"
"53701-53999","53701","53999","5"
"54001-54099","54001","54099","4"
"54101-54799","54101","54799","5"
"54801-54899","54801","54899","4"
"54901-54999","54901","54999","5"
"55001-55199","55001","55199","4"
"55301-56799","55301","56799","4"
"57001-57399","57001","57399","4"
"57401-57499","57401","57499","3"
"57501-57599","57501","57599","4"
"57601-57799","57601","57799","3"
"58001-58199","58001","58199","4"
"58201-58599","58201","58599","3"
"58601-58899","58601","58899","2"
"60001-62099","60001","62099","5"
"62201-62899","62201","62899","5"
"62901-62999","62901","62999","6"
"63001-63199","63001","63199","5"
"63301-63399","63301","63399","5"
"64001-64199","64001","64199","5"
"66101-66299","66101","66299","5"
"68001-68199","68001","68199","4"
"68301-68399","68301","68399","5"
"68401-68499","68401","68499","4"
"68501-68599","68501","68599","5"
"68601-68799","68601","68799","4"
"68801-68803","68801","68803","4"
"68818-68818","68818","68818","4"
"68822-68822","68822","68822","4"
"68826-68826","68826","68826","4"
"68845-68845","68845","68845","4"
"68847-68847","68847","68847","4"
"68848-68848","68848","68848","4"
"68849-68849","68849","68849","4"
"68850-68850","68850","68850","4"
"68901-68902","68901","68902","4"
"68949-68949","68949","68949","4"
"68959-68959","68959","68959","4"
"69001-69001","69001","69001","4"
"69101-69101","69101","69101","4"
"69103-69103","69103","69103","4"
"69129-69129","69129","69129","4"
"69130-69130","69130","69130","4"
"69138-69138","69138","69138","4"
"69145-69145","69145","69145","4"
"69153-69153","69153","69153","4"
"69154-69154","69154","69154","4"
"69160-69160","69160","69160","4"
"69162-69162","69162","69162","4"
"69165-69165","69165","69165","4"
"69190-69190","69190","69190","4"
"69301-69301","69301","69301","4"
"69334-69334","69334","69334","4"
"69336-69336","69336","69336","4"
"69341-69341","69341","69341","4"
"69356-69356","69356","69356","4"
"69357-69357","69357","69357","4"
"69361-69361","69361","69361","4"
"69363-69363","69363","69363","4"
