"ZipRange","StartZip","EndZip","Zone"
"49801-49802","49801","49802","5"
"49858-49858","49858","49858","5"
"49870-49870","49870","49870","5"
"49876-49876","49876","49876","5"
"49938-49938","49938","49938","5"
"50001-51699","50001","51699","4"
"52001-52099","52001","52099","5"
"52101-52599","52101","52599","4"
"52601-52899","52601","52899","5"
"53001-53299","53001","53299","5"
"53401-53599","53401","53599","5"
"53701-53999","53701","53999","5"
"54001-54099","54001","54099","4"
"54101-54599","54101","54599","5"
"54601-54899","54601","54899","4"
"54901-54999","54901","54999","5"
"55001-55199","55001","55199","4"
"55301-56799","55301","56799","4"
"57001-57199","57001","57199","4"
"57201-57499","57201","57499","3"
"57501-57799","57501","57799","2"
"58001-58399","58001","58399","4"
"58401-58899","58401","58899","3"
"60001-62099","60001","62099","5"
"62201-62999","62201","62999","5"
"63001-63199","63001","63199","5"
"63301-63399","63301","63399","5"
"64001-64199","64001","64199","4"
"66101-66299","66101","66299","4"
"68001-68199","68001","68199","4"
"68301-68699","68301","68699","4"
"68701-68799","68701","68799","3"
"68801-68803","68801","68803","3"
"68818-68818","68818","68818","3"
"68822-68822","68822","68822","3"
"68826-68826","68826","68826","3"
"68845-68845","68845","68845","3"
"68847-68847","68847","68847","3"
"68848-68848","68848","68848","3"
"68849-68849","68849","68849","3"
"68850-68850","68850","68850","3"
"68901-68902","68901","68902","4"
"68949-68949","68949","68949","4"
"68959-68959","68959","68959","4"
"69001-69001","69001","69001","3"
"69101-69101","69101","69101","3"
"69103-69103","69103","69103","3"
"69129-69129","69129","69129","3"
"69130-69130","69130","69130","3"
"69138-69138","69138","69138","3"
"69145-69145","69145","69145","3"
"69153-69153","69153","69153","3"
"69154-69154","69154","69154","3"
"69160-69160","69160","69160","3"
"69162-69162","69162","69162","3"
"69165-69165","69165","69165","3"
"69190-69190","69190","69190","3"
"69301-69301","69301","69301","2"
"69334-69334","69334","69334","2"
"69336-69336","69336","69336","2"
"69341-69341","69341","69341","2"
"69356-69356","69356","69356","2"
"69357-69357","69357","69357","2"
"69361-69361","69361","69361","2"
"69363-69363","69363","69363","2"
