"ZipRange","StartZip","EndZip","Zone"
"49801-49802","49801","49802","4"
"49858-49858","49858","49858","4"
"49870-49870","49870","49870","4"
"49876-49876","49876","49876","4"
"49938-49938","49938","49938","4"
"50001-50599","50001","50599","3"
"50601-50799","50601","50799","4"
"50801-50999","50801","50999","3"
"51001-51199","51001","51199","2"
"51201-51499","51201","51499","3"
"51501-51699","51501","51699","2"
"52001-52499","52001","52499","4"
"52501-52599","52501","52599","3"
"52601-52899","52601","52899","4"
"53001-53299","53001","53299","4"
"53401-53599","53401","53599","4"
"53701-54999","53701","54999","4"
"55001-55199","55001","55199","4"
"55301-55999","55301","55999","4"
"56001-56199","56001","56199","3"
"56201-56799","56201","56799","4"
"57001-57599","57001","57599","3"
"57601-57799","57601","57799","4"
"58001-58899","58001","58899","4"
"60001-62099","60001","62099","4"
"62201-62999","62201","62999","4"
"63001-63199","63001","63199","4"
"63301-63399","63301","63399","4"
"64001-64199","64001","64199","3"
"66101-66299","66101","66299","3"
"68001-68199","68001","68199","2"
"68301-68799","68301","68799","2"
"68801-68803","68801","68803","2"
"68818-68818","68818","68818","2"
"68822-68822","68822","68822","2"
"68826-68826","68826","68826","2"
"68845-68845","68845","68845","2"
"68847-68847","68847","68847","2"
"68848-68848","68848","68848","2"
"68849-68849","68849","68849","2"
"68850-68850","68850","68850","2"
"68901-68902","68901","68902","2"
"68949-68949","68949","68949","2"
"68959-68959","68959","68959","2"
"69001-69001","69001","69001","2"
"69101-69101","69101","69101","2"
"69103-69103","69103","69103","2"
"69129-69129","69129","69129","2"
"69130-69130","69130","69130","2"
"69138-69138","69138","69138","2"
"69145-69145","69145","69145","2"
"69153-69153","69153","69153","2"
"69154-69154","69154","69154","2"
"69160-69160","69160","69160","2"
"69162-69162","69162","69162","2"
"69165-69165","69165","69165","2"
"69190-69190","69190","69190","2"
"69301-69301","69301","69301","3"
"69334-69334","69334","69334","3"
"69336-69336","69336","69336","3"
"69341-69341","69341","69341","3"
"69356-69356","69356","69356","3"
"69357-69357","69357","69357","3"
"69361-69361","69361","69361","3"
"69363-69363","69363","69363","3"
