"ZipRange","StartZip","EndZip","Zone"
"49801-49802","49801","49802","4"
"49858-49858","49858","49858","4"
"49870-49870","49870","49870","4"
"49876-49876","49876","49876","4"
"49938-49938","49938","49938","4"
"50001-50799","50001","50799","3"
"50801-50899","50801","50899","2"
"50901-50999","50901","50999","3"
"51001-51199","51001","51199","2"
"51201-51399","51201","51399","3"
"51401-51699","51401","51699","2"
"52001-52099","52001","52099","4"
"52101-52799","52101","52799","3"
"52801-52899","52801","52899","4"
"53001-53299","53001","53299","4"
"53401-53599","53401","53599","4"
"53701-54999","53701","54999","4"
"55001-55199","55001","55199","4"
"55301-55999","55301","55999","4"
"56001-56299","56001","56299","3"
"56301-56799","56301","56799","4"
"57001-57599","57001","57599","3"
"57601-57799","57601","57799","4"
"58001-58799","58001","58799","4"
"58801-58899","58801","58899","5"
"60001-61199","60001","61199","4"
"61201-61299","61201","61299","3"
"61301-62099","61301","62099","4"
"62201-62299","62201","62299","4"
"62301-62399","62301","62399","3"
"62401-62999","62401","62999","4"
"63001-63199","63001","63199","4"
"63301-63399","63301","63399","4"
"64001-64199","64001","64199","2"
"66101-66299","66101","66299","2"
"68001-68199","68001","68199","2"
"68301-68799","68301","68799","2"
"68801-68803","68801","68803","2"
"68818-68818","68818","68818","2"
"68822-68822","68822","68822","2"
"68826-68826","68826","68826","2"
"68845-68845","68845","68845","2"
"68847-68847","68847","68847","2"
"68848-68848","68848","68848","2"
"68849-68849","68849","68849","2"
"68850-68850","68850","68850","2"
"68901-68902","68901","68902","2"
"68949-68949","68949","68949","2"
"68959-68959","68959","68959","2"
"69001-69001","69001","69001","3"
"69101-69101","69101","69101","3"
"69103-69103","69103","69103","3"
"69129-69129","69129","69129","3"
"69130-69130","69130","69130","3"
"69138-69138","69138","69138","3"
"69145-69145","69145","69145","3"
"69153-69153","69153","69153","3"
"69154-69154","69154","69154","3"
"69160-69160","69160","69160","3"
"69162-69162","69162","69162","3"
"69165-69165","69165","69165","3"
"69190-69190","69190","69190","3"
"69301-69301","69301","69301","4"
"69334-69334","69334","69334","4"
"69336-69336","69336","69336","4"
"69341-69341","69341","69341","4"
"69356-69356","69356","69356","4"
"69357-69357","69357","69357","4"
"69361-69361","69361","69361","4"
"69363-69363","69363","69363","4"
