"ZipRange","StartZip","EndZip","Zone"
"49801-49802","49801","49802","4"
"49858-49858","49858","49858","4"
"49870-49870","49870","49870","4"
"49876-49876","49876","49876","4"
"49938-49938","49938","49938","4"
"50001-50499","50001","50499","3"
"50501-50599","50501","50599","4"
"50601-50999","50601","50999","3"
"51001-51699","51001","51699","4"
"52001-52599","52001","52599","3"
"52601-52899","52601","52899","2"
"53001-53299","53001","53299","3"
"53401-53599","53401","53599","3"
"53701-53999","53701","53999","3"
"54001-54099","54001","54099","4"
"54101-54499","54101","54499","3"
"54501-54599","54501","54599","4"
"54601-54699","54601","54699","3"
"54701-54899","54701","54899","4"
"54901-54999","54901","54999","3"
"55001-55199","55001","55199","4"
"55301-55899","55301","55899","4"
"55901-55999","55901","55999","3"
"56001-56699","56001","56699","4"
"56701-56799","56701","56799","5"
"57001-57499","57001","57499","4"
"57501-57799","57501","57799","5"
"58001-58199","58001","58199","4"
"58201-58899","58201","58899","5"
"60001-60099","60001","60099","2"
"60101-60199","60101","60199","3"
"60201-62099","60201","62099","2"
"62201-62899","62201","62899","2"
"62901-62999","62901","62999","3"
"63001-63099","63001","63099","2"
"63101-63199","63101","63199","3"
"63301-63399","63301","63399","2"
"64001-64099","64001","64099","3"
"64101-64199","64101","64199","4"
"66101-66299","66101","66299","4"
"68001-68199","68001","68199","4"
"68301-68799","68301","68799","4"
"68801-68803","68801","68803","4"
"68818-68818","68818","68818","4"
"68822-68822","68822","68822","4"
"68826-68826","68826","68826","4"
"68845-68845","68845","68845","4"
"68847-68847","68847","68847","4"
"68848-68848","68848","68848","4"
"68849-68849","68849","68849","4"
"68850-68850","68850","68850","4"
"68901-68902","68901","68902","4"
"68949-68949","68949","68949","4"
"68959-68959","68959","68959","4"
"69001-69001","69001","69001","5"
"69101-69101","69101","69101","5"
"69103-69103","69103","69103","5"
"69129-69129","69129","69129","5"
"69130-69130","69130","69130","5"
"69138-69138","69138","69138","5"
"69145-69145","69145","69145","5"
"69153-69153","69153","69153","5"
"69154-69154","69154","69154","5"
"69160-69160","69160","69160","5"
"69162-69162","69162","69162","5"
"69165-69165","69165","69165","5"
"69190-69190","69190","69190","5"
"69301-69301","69301","69301","5"
"69334-69334","69334","69334","5"
"69336-69336","69336","69336","5"
"69341-69341","69341","69341","5"
"69356-69356","69356","69356","5"
"69357-69357","69357","69357","5"
"69361-69361","69361","69361","5"
"69363-69363","69363","69363","5"
