"ZipRange","StartZip","EndZip","Zone"
"49801-49802","49801","49802","4"
"49858-49858","49858","49858","4"
"49870-49870","49870","49870","4"
"49876-49876","49876","49876","4"
"49938-49938","49938","49938","4"
"50001-50999","50001","50999","4"
"51001-51399","51001","51399","3"
"51401-51699","51401","51699","4"
"52001-52899","52001","52899","4"
"53001-53299","53001","53299","5"
"53401-53599","53401","53599","5"
"53701-53799","53701","53799","5"
"53801-54999","53801","54999","4"
"55001-55199","55001","55199","4"
"55301-55999","55301","55999","4"
"56001-56799","56001","56799","3"
"57001-57199","57001","57199","3"
"57201-57699","57201","57699","2"
"57701-57799","57701","57799","3"
"58001-58399","58001","58399","3"
"58401-58699","58401","58699","2"
"58701-58899","58701","58899","3"
"60001-60999","60001","60999","5"
"61001-61299","61001","61299","4"
"61301-61399","61301","61399","5"
"61401-61799","61401","61799","4"
"61801-62099","61801","62099","5"
"62201-62299","62201","62299","5"
"62301-62399","62301","62399","4"
"62401-62599","62401","62599","5"
"62601-62799","62601","62799","4"
"62801-62999","62801","62999","5"
"63001-63199","63001","63199","5"
"63301-63399","63301","63399","5"
"64001-64199","64001","64199","4"
"66101-66299","66101","66299","4"
"68001-68099","68001","68099","3"
"68101-68199","68101","68199","4"
"68301-68699","68301","68699","4"
"68701-68799","68701","68799","3"
"68801-68803","68801","68803","4"
"68818-68818","68818","68818","4"
"68822-68822","68822","68822","4"
"68826-68826","68826","68826","4"
"68845-68845","68845","68845","4"
"68847-68847","68847","68847","4"
"68848-68848","68848","68848","4"
"68849-68849","68849","68849","4"
"68850-68850","68850","68850","4"
"68901-68902","68901","68902","4"
"68949-68949","68949","68949","4"
"68959-68959","68959","68959","4"
"69001-69001","69001","69001","4"
"69101-69101","69101","69101","3"
"69103-69103","69103","69103","3"
"69129-69129","69129","69129","3"
"69130-69130","69130","69130","3"
"69138-69138","69138","69138","3"
"69145-69145","69145","69145","3"
"69153-69153","69153","69153","3"
"69154-69154","69154","69154","3"
"69160-69160","69160","69160","3"
"69162-69162","69162","69162","3"
"69165-69165","69165","69165","3"
"69190-69190","69190","69190","3"
"69301-69301","69301","69301","3"
"69334-69334","69334","69334","3"
"69336-69336","69336","69336","3"
"69341-69341","69341","69341","3"
"69356-69356","69356","69356","3"
"69357-69357","69357","69357","3"
"69361-69361","69361","69361","3"
"69363-69363","69363","69363","3"
