"ZipRange","StartZip","EndZip","Zone"
"49801-49802","49801","49802","4"
"49858-49858","49858","49858","4"
"49870-49870","49870","49870","4"
"49876-49876","49876","49876","4"
"49938-49938","49938","49938","4"
"50001-50999","50001","50999","4"
"51001-51699","51001","51699","3"
"52001-52899","52001","52899","4"
"53001-53299","53001","53299","5"
"53401-53599","53401","53599","5"
"53701-53799","53701","53799","5"
"53801-54999","53801","54999","4"
"55001-55199","55001","55199","4"
"55301-55999","55301","55999","4"
"56001-56399","56001","56399","3"
"56401-56499","56401","56499","4"
"56501-56599","56501","56599","3"
"56601-56699","56601","56699","4"
"56701-56799","56701","56799","3"
"57001-57199","57001","57199","3"
"57201-57799","57201","57799","2"
"58001-58799","58001","58799","3"
"58801-58899","58801","58899","4"
"60001-60999","60001","60999","5"
"61001-61799","61001","61799","4"
"61801-62099","61801","62099","5"
"62201-62299","62201","62299","5"
"62301-62399","62301","62399","4"
"62401-62999","62401","62999","5"
"63001-63199","63001","63199","5"
"63301-63399","63301","63399","4"
"64001-64199","64001","64199","4"
"66101-66299","66101","66299","4"
"68001-68199","68001","68199","3"
"68301-68799","68301","68799","3"
"68801-68803","68801","68803","3"
"68818-68818","68818","68818","3"
"68822-68822","68822","68822","3"
"68826-68826","68826","68826","3"
"68845-68845","68845","68845","3"
"68847-68847","68847","68847","3"
"68848-68848","68848","68848","3"
"68849-68849","68849","68849","3"
"68850-68850","68850","68850","3"
"68901-68902","68901","68902","3"
"68949-68949","68949","68949","3"
"68959-68959","68959","68959","3"
"69001-69001","69001","69001","3"
"69101-69101","69101","69101","3"
"69103-69103","69103","69103","3"
"69129-69129","69129","69129","3"
"69130-69130","69130","69130","3"
"69138-69138","69138","69138","3"
"69145-69145","69145","69145","3"
"69153-69153","69153","69153","3"
"69154-69154","69154","69154","3"
"69160-69160","69160","69160","3"
"69162-69162","69162","69162","3"
"69165-69165","69165","69165","3"
"69190-69190","69190","69190","3"
"69301-69301","69301","69301","3"
"69334-69334","69334","69334","3"
"69336-69336","69336","69336","3"
"69341-69341","69341","69341","3"
"69356-69356","69356","69356","3"
"69357-69357","69357","69357","3"
"69361-69361","69361","69361","3"
"69363-69363","69363","69363","3"
