"ZipRange","StartZip","EndZip","Zone"
"49801-49802","49801","49802","3"
"49858-49858","49858","49858","3"
"49870-49870","49870","49870","3"
"49876-49876","49876","49876","3"
"49938-49938","49938","49938","3"
"50001-50999","50001","50999","3"
"51001-51399","51001","51399","4"
"51401-51499","51401","51499","3"
"51501-51599","51501","51599","4"
"51601-51699","51601","51699","3"
"52001-52099","52001","52099","2"
"52101-52199","52101","52199","3"
"52201-52899","52201","52899","2"
"53001-53299","53001","53299","2"
"53401-53599","53401","53599","2"
"53701-53899","53701","53899","2"
"53901-54799","53901","54799","3"
"54801-54899","54801","54899","4"
"54901-54999","54901","54999","3"
"55001-55099","55001","55099","3"
"55101-55199","55101","55199","4"
"55301-55499","55301","55499","4"
"55501-55599","55501","55599","3"
"55601-55899","55601","55899","4"
"55901-55999","55901","55999","3"
"56001-56799","56001","56799","4"
"57001-57599","57001","57599","4"
"57601-57799","57601","57799","5"
"58001-58299","58001","58299","4"
"58301-58399","58301","58399","5"
"58401-58499","58401","58499","4"
"58501-58899","58501","58899","5"
"60001-61999","60001","61999","2"
"62001-62099","62001","62099","3"
"62201-62299","62201","62299","3"
"62301-62799","62301","62799","2"
"62801-62999","62801","62999","3"
"63001-63199","63001","63199","3"
"63301-63399","63301","63399","3"
"64001-64199","64001","64199","4"
"66101-66299","66101","66299","4"
"68001-68199","68001","68199","4"
"68301-68799","68301","68799","4"
"68801-68803","68801","68803","4"
"68818-68818","68818","68818","4"
"68822-68822","68822","68822","4"
"68826-68826","68826","68826","4"
"68845-68845","68845","68845","4"
"68847-68847","68847","68847","4"
"68848-68848","68848","68848","4"
"68849-68849","68849","68849","4"
"68850-68850","68850","68850","4"
"68901-68902","68901","68902","4"
"68949-68949","68949","68949","4"
"68959-68959","68959","68959","4"
"69001-69001","69001","69001","4"
"69101-69101","69101","69101","4"
"69103-69103","69103","69103","4"
"69129-69129","69129","69129","4"
"69130-69130","69130","69130","4"
"69138-69138","69138","69138","4"
"69145-69145","69145","69145","4"
"69153-69153","69153","69153","4"
"69154-69154","69154","69154","4"
"69160-69160","69160","69160","4"
"69162-69162","69162","69162","4"
"69165-69165","69165","69165","4"
"69190-69190","69190","69190","4"
"69301-69301","69301","69301","5"
"69334-69334","69334","69334","5"
"69336-69336","69336","69336","5"
"69341-69341","69341","69341","5"
"69356-69356","69356","69356","5"
"69357-69357","69357","69357","5"
"69361-69361","69361","69361","5"
"69363-69363","69363","69363","5"
