"ZipRange","StartZip","EndZip","Zone"
"49801-49802","49801","49802","4"
"49858-49858","49858","49858","4"
"49870-49870","49870","49870","4"
"49876-49876","49876","49876","4"
"49938-49938","49938","49938","4"
"50001-50399","50001","50399","4"
"50401-50499","50401","50499","3"
"50501-51199","50501","51199","4"
"51201-51399","51201","51399","3"
"51401-51699","51401","51699","4"
"52001-52899","52001","52899","4"
"53001-53299","53001","53299","4"
"53401-53599","53401","53599","4"
"53701-53999","53701","53999","4"
"54001-54099","54001","54099","3"
"54101-54799","54101","54799","4"
"54801-54899","54801","54899","3"
"54901-54999","54901","54999","4"
"55001-55199","55001","55199","3"
"55301-55899","55301","55899","3"
"55901-55999","55901","55999","4"
"56001-56399","56001","56399","3"
"56401-56799","56401","56799","2"
"57001-57799","57001","57799","3"
"58001-58499","58001","58499","2"
"58501-58899","58501","58899","3"
"60001-60599","60001","60599","4"
"60601-60699","60601","60699","5"
"60701-61699","60701","61699","4"
"61701-62099","61701","62099","5"
"62201-62299","62201","62299","5"
"62301-62399","62301","62399","4"
"62401-62999","62401","62999","5"
"63001-63199","63001","63199","5"
"63301-63399","63301","63399","5"
"64001-64199","64001","64199","5"
"66101-66299","66101","66299","5"
"68001-68199","68001","68199","4"
"68301-68799","68301","68799","4"
"68801-68803","68801","68803","4"
"68818-68818","68818","68818","4"
"68822-68822","68822","68822","4"
"68826-68826","68826","68826","4"
"68845-68845","68845","68845","4"
"68847-68847","68847","68847","4"
"68848-68848","68848","68848","4"
"68849-68849","68849","68849","4"
"68850-68850","68850","68850","4"
"68901-68902","68901","68902","4"
"68949-68949","68949","68949","4"
"68959-68959","68959","68959","4"
"69001-69001","69001","69001","4"
"69101-69101","69101","69101","5"
"69103-69103","69103","69103","5"
"69129-69129","69129","69129","5"
"69130-69130","69130","69130","5"
"69138-69138","69138","69138","5"
"69145-69145","69145","69145","5"
"69153-69153","69153","69153","5"
"69154-69154","69154","69154","5"
"69160-69160","69160","69160","5"
"69162-69162","69162","69162","5"
"69165-69165","69165","69165","5"
"69190-69190","69190","69190","5"
"69301-69301","69301","69301","4"
"69334-69334","69334","69334","4"
"69336-69336","69336","69336","4"
"69341-69341","69341","69341","4"
"69356-69356","69356","69356","4"
"69357-69357","69357","69357","4"
"69361-69361","69361","69361","4"
"69363-69363","69363","69363","4"
