"ZipRange","StartZip","EndZip","Zone"
"49801-49802","49801","49802","4"
"49858-49858","49858","49858","4"
"49870-49870","49870","49870","4"
"49876-49876","49876","49876","4"
"49938-49938","49938","49938","4"
"50001-51699","50001","51699","2"
"52001-52199","52001","52199","3"
"52201-52399","52201","52399","2"
"52401-52499","52401","52499","3"
"52501-52599","52501","52599","2"
"52601-52899","52601","52899","3"
"53001-53299","53001","53299","4"
"53401-53599","53401","53599","3"
"53701-53799","53701","53799","3"
"53801-53899","53801","53899","2"
"53901-54099","53901","54099","3"
"54101-54599","54101","54599","4"
"54601-54799","54601","54799","3"
"54801-54999","54801","54999","4"
"55001-55099","55001","55099","4"
"55101-55199","55101","55199","3"
"55301-55399","55301","55399","4"
"55401-55599","55401","55599","3"
"55601-55899","55601","55899","4"
"55901-56399","55901","56399","3"
"56401-56799","56401","56799","4"
"57001-57399","57001","57399","3"
"57401-57799","57401","57799","4"
"58001-58799","58001","58799","4"
"58801-58899","58801","58899","5"
"60001-60199","60001","60199","4"
"60201-60399","60201","60399","3"
"60401-60699","60401","60699","4"
"60701-61999","60701","61999","3"
"62001-62099","62001","62099","4"
"62201-62299","62201","62299","4"
"62301-62399","62301","62399","3"
"62401-62599","62401","62599","4"
"62601-62799","62601","62799","3"
"62801-62999","62801","62999","4"
"63001-63099","63001","63099","3"
"63101-63199","63101","63199","4"
"63301-63399","63301","63399","3"
"64001-64199","64001","64199","3"
"66101-66299","66101","66299","3"
"68001-68199","68001","68199","2"
"68301-68799","68301","68799","3"
"68801-68803","68801","68803","3"
"68818-68818","68818","68818","3"
"68822-68822","68822","68822","3"
"68826-68826","68826","68826","3"
"68845-68845","68845","68845","3"
"68847-68847","68847","68847","3"
"68848-68848","68848","68848","3"
"68849-68849","68849","68849","3"
"68850-68850","68850","68850","3"
"68901-68902","68901","68902","3"
"68949-68949","68949","68949","3"
"68959-68959","68959","68959","3"
"69001-69001","69001","69001","4"
"69101-69101","69101","69101","4"
"69103-69103","69103","69103","4"
"69129-69129","69129","69129","4"
"69130-69130","69130","69130","4"
"69138-69138","69138","69138","4"
"69145-69145","69145","69145","4"
"69153-69153","69153","69153","4"
"69154-69154","69154","69154","4"
"69160-69160","69160","69160","4"
"69162-69162","69162","69162","4"
"69165-69165","69165","69165","4"
"69190-69190","69190","69190","4"
"69301-69301","69301","69301","4"
"69334-69334","69334","69334","4"
"69336-69336","69336","69336","4"
"69341-69341","69341","69341","4"
"69356-69356","69356","69356","4"
"69357-69357","69357","69357","4"
"69361-69361","69361","69361","4"
"69363-69363","69363","69363","4"
