"ZipRange","StartZip","EndZip","Zone"
"49801-49802","49801","49802","3"
"49858-49858","49858","49858","3"
"49870-49870","49870","49870","3"
"49876-49876","49876","49876","3"
"49938-49938","49938","49938","3"
"50001-50099","50001","50099","3"
"50101-50199","50101","50199","2"
"50201-50399","50201","50399","3"
"50401-50799","50401","50799","2"
"50801-51299","50801","51299","3"
"51301-51399","51301","51399","2"
"51401-51699","51401","51699","3"
"52001-52199","52001","52199","2"
"52201-52899","52201","52899","3"
"53001-53299","53001","53299","3"
"53401-53499","53401","53499","3"
"53501-53599","53501","53599","2"
"53701-53799","53701","53799","3"
"53801-54099","53801","54099","2"
"54101-54399","54101","54399","3"
"54401-54499","54401","54499","2"
"54501-54599","54501","54599","3"
"54601-54999","54601","54999","2"
"55001-55199","55001","55199","2"
"55301-55399","55301","55399","3"
"55401-55599","55401","55599","2"
"55601-55899","55601","55899","3"
"55901-56499","55901","56499","2"
"56501-56699","56501","56699","3"
"56701-56799","56701","56799","4"
"57001-57499","57001","57499","3"
"57501-57799","57501","57799","4"
"58001-58199","58001","58199","3"
"58201-58899","58201","58899","4"
"60001-61799","60001","61799","3"
"61801-62099","61801","62099","4"
"62201-62299","62201","62299","4"
"62301-62399","62301","62399","3"
"62401-62999","62401","62999","4"
"63001-63199","63001","63199","4"
"63301-63399","63301","63399","4"
"64001-64199","64001","64199","4"
"66101-66299","66101","66299","4"
"68001-68199","68001","68199","3"
"68301-68699","68301","68699","4"
"68701-68799","68701","68799","3"
"68801-68803","68801","68803","4"
"68818-68818","68818","68818","4"
"68822-68822","68822","68822","4"
"68826-68826","68826","68826","4"
"68845-68845","68845","68845","4"
"68847-68847","68847","68847","4"
"68848-68848","68848","68848","4"
"68849-68849","68849","68849","4"
"68850-68850","68850","68850","4"
"68901-68902","68901","68902","4"
"68949-68949","68949","68949","4"
"68959-68959","68959","68959","4"
"69001-69001","69001","69001","4"
"69101-69101","69101","69101","4"
"69103-69103","69103","69103","4"
"69129-69129","69129","69129","4"
"69130-69130","69130","69130","4"
"69138-69138","69138","69138","4"
"69145-69145","69145","69145","4"
"69153-69153","69153","69153","4"
"69154-69154","69154","69154","4"
"69160-69160","69160","69160","4"
"69162-69162","69162","69162","4"
"69165-69165","69165","69165","4"
"69190-69190","69190","69190","4"
"69301-69301","69301","69301","4"
"69334-69334","69334","69334","4"
"69336-69336","69336","69336","4"
"69341-69341","69341","69341","4"
"69356-69356","69356","69356","4"
"69357-69357","69357","69357","4"
"69361-69361","69361","69361","4"
"69363-69363","69363","69363","4"
