"ZipRange","StartZip","EndZip","Zone"
"49801-49802","49801","49802","3"
"49858-49858","49858","49858","3"
"49870-49870","49870","49870","3"
"49876-49876","49876","49876","3"
"49938-49938","49938","49938","3"
"50001-50199","50001","50199","4"
"50201-50499","50201","50499","3"
"50501-50899","50501","50899","4"
"50901-50999","50901","50999","3"
"51001-51699","51001","51699","4"
"52001-52099","52001","52099","2"
"52101-52899","52101","52899","3"
"53001-53299","53001","53299","2"
"53401-53599","53401","53599","2"
"53701-53999","53701","53999","2"
"54001-54199","54001","54199","3"
"54201-54399","54201","54399","2"
"54401-54899","54401","54899","3"
"54901-54999","54901","54999","2"
"55001-55199","55001","55199","3"
"55301-55399","55301","55399","4"
"55401-55599","55401","55599","3"
"55601-55899","55601","55899","4"
"55901-56099","55901","56099","3"
"56101-56299","56101","56299","4"
"56301-56399","56301","56399","3"
"56401-56799","56401","56799","4"
"57001-57499","57001","57499","4"
"57501-57799","57501","57799","5"
"58001-58299","58001","58299","4"
"58301-58399","58301","58399","5"
"58401-58499","58401","58499","4"
"58501-58899","58501","58899","5"
"60001-60099","60001","60099","2"
"60101-60199","60101","60199","3"
"60201-60599","60201","60599","2"
"60601-60699","60601","60699","3"
"60701-61199","60701","61199","2"
"61201-61299","61201","61299","3"
"61301-61399","61301","61399","2"
"61401-61999","61401","61999","3"
"62001-62099","62001","62099","4"
"62201-62299","62201","62299","4"
"62301-62799","62301","62799","3"
"62801-62999","62801","62999","4"
"63001-63199","63001","63199","4"
"63301-63399","63301","63399","4"
"64001-64199","64001","64199","4"
"66101-66299","66101","66299","4"
"68001-68199","68001","68199","4"
"68301-68799","68301","68799","4"
"68801-68803","68801","68803","4"
"68818-68818","68818","68818","4"
"68822-68822","68822","68822","4"
"68826-68826","68826","68826","4"
"68845-68845","68845","68845","4"
"68847-68847","68847","68847","4"
"68848-68848","68848","68848","4"
"68849-68849","68849","68849","4"
"68850-68850","68850","68850","4"
"68901-68902","68901","68902","4"
"68949-68949","68949","68949","4"
"68959-68959","68959","68959","4"
"69001-69001","69001","69001","5"
"69101-69101","69101","69101","5"
"69103-69103","69103","69103","5"
"69129-69129","69129","69129","5"
"69130-69130","69130","69130","5"
"69138-69138","69138","69138","5"
"69145-69145","69145","69145","5"
"69153-69153","69153","69153","5"
"69154-69154","69154","69154","5"
"69160-69160","69160","69160","5"
"69162-69162","69162","69162","5"
"69165-69165","69165","69165","5"
"69190-69190","69190","69190","5"
"69301-69301","69301","69301","5"
"69334-69334","69334","69334","5"
"69336-69336","69336","69336","5"
"69341-69341","69341","69341","5"
"69356-69356","69356","69356","5"
"69357-69357","69357","69357","5"
"69361-69361","69361","69361","5"
"69363-69363","69363","69363","5"
