"ZipRange","StartZip","EndZip","Zone"
"49801-49802","49801","49802","4"
"49858-49858","49858","49858","4"
"49870-49870","49870","49870","4"
"49876-49876","49876","49876","4"
"49938-49938","49938","49938","4"
"50001-50399","50001","50399","3"
"50401-50599","50401","50599","4"
"50601-50999","50601","50999","3"
"51001-51599","51001","51599","4"
"51601-51699","51601","51699","3"
"52001-52599","52001","52599","3"
"52601-52699","52601","52699","2"
"52701-52899","52701","52899","3"
"53001-53299","53001","53299","4"
"53401-53599","53401","53599","3"
"53701-53899","53701","53899","3"
"53901-54999","53901","54999","4"
"55001-55199","55001","55199","4"
"55301-56599","55301","56599","4"
"56601-56799","56601","56799","5"
"57001-57499","57001","57499","4"
"57501-57799","57501","57799","5"
"58001-58899","58001","58899","5"
"60001-60599","60001","60599","3"
"60601-60699","60601","60699","4"
"60701-61399","60701","61399","3"
"61401-61699","61401","61699","2"
"61701-61999","61701","61999","3"
"62001-62099","62001","62099","2"
"62201-62399","62201","62399","2"
"62401-62499","62401","62499","3"
"62501-62899","62501","62899","2"
"62901-62999","62901","62999","3"
"63001-63199","63001","63199","2"
"63301-63399","63301","63399","2"
"64001-64199","64001","64199","3"
"66101-66299","66101","66299","3"
"68001-68199","68001","68199","4"
"68301-68799","68301","68799","4"
"68801-68803","68801","68803","4"
"68818-68818","68818","68818","4"
"68822-68822","68822","68822","4"
"68826-68826","68826","68826","4"
"68845-68845","68845","68845","4"
"68847-68847","68847","68847","4"
"68848-68848","68848","68848","4"
"68849-68849","68849","68849","4"
"68850-68850","68850","68850","4"
"68901-68902","68901","68902","4"
"68949-68949","68949","68949","4"
"68959-68959","68959","68959","4"
"69001-69001","69001","69001","4"
"69101-69101","69101","69101","4"
"69103-69103","69103","69103","4"
"69129-69129","69129","69129","4"
"69130-69130","69130","69130","4"
"69138-69138","69138","69138","4"
"69145-69145","69145","69145","4"
"69153-69153","69153","69153","4"
"69154-69154","69154","69154","4"
"69160-69160","69160","69160","4"
"69162-69162","69162","69162","4"
"69165-69165","69165","69165","4"
"69190-69190","69190","69190","4"
"69301-69301","69301","69301","5"
"69334-69334","69334","69334","5"
"69336-69336","69336","69336","5"
"69341-69341","69341","69341","5"
"69356-69356","69356","69356","5"
"69357-69357","69357","69357","5"
"69361-69361","69361","69361","5"
"69363-69363","69363","69363","5"
