"ZipRange","StartZip","EndZip","Zone"
"49801-49802","49801","49802","4"
"49858-49858","49858","49858","4"
"49870-49870","49870","49870","4"
"49876-49876","49876","49876","4"
"49938-49938","49938","49938","4"
"50001-51699","50001","51699","2"
"52001-52099","52001","52099","3"
"52101-52599","52101","52599","2"
"52601-52899","52601","52899","3"
"53001-53299","53001","53299","4"
"53401-53499","53401","53499","4"
"53501-53599","53501","53599","3"
"53701-53999","53701","53999","3"
"54001-54099","54001","54099","2"
"54101-54399","54101","54399","4"
"54401-54499","54401","54499","3"
"54501-54599","54501","54599","4"
"54601-54699","54601","54699","2"
"54701-54999","54701","54999","3"
"55001-55199","55001","55199","2"
"55301-55399","55301","55399","3"
"55401-55599","55401","55599","2"
"55601-55899","55601","55899","3"
"55901-56199","55901","56199","2"
"56201-56699","56201","56699","3"
"56701-56799","56701","56799","4"
"57001-57199","57001","57199","2"
"57201-57499","57201","57499","3"
"57501-57799","57501","57799","4"
"58001-58199","58001","58199","3"
"58201-58899","58201","58899","4"
"60001-60999","60001","60999","4"
"61001-61699","61001","61699","3"
"61701-62099","61701","62099","4"
"62201-62299","62201","62299","4"
"62301-62399","62301","62399","3"
"62401-62499","62401","62499","4"
"62501-62799","62501","62799","3"
"62801-62999","62801","62999","4"
"63001-63199","63001","63199","4"
"63301-63399","63301","63399","4"
"64001-64199","64001","64199","3"
"66101-66299","66101","66299","3"
"68001-68199","68001","68199","2"
"68301-68699","68301","68699","3"
"68701-68799","68701","68799","2"
"68801-68803","68801","68803","3"
"68818-68818","68818","68818","3"
"68822-68822","68822","68822","3"
"68826-68826","68826","68826","3"
"68845-68845","68845","68845","3"
"68847-68847","68847","68847","3"
"68848-68848","68848","68848","3"
"68849-68849","68849","68849","3"
"68850-68850","68850","68850","3"
"68901-68902","68901","68902","3"
"68949-68949","68949","68949","3"
"68959-68959","68959","68959","3"
"69001-69001","69001","69001","4"
"69101-69101","69101","69101","4"
"69103-69103","69103","69103","4"
"69129-69129","69129","69129","4"
"69130-69130","69130","69130","4"
"69138-69138","69138","69138","4"
"69145-69145","69145","69145","4"
"69153-69153","69153","69153","4"
"69154-69154","69154","69154","4"
"69160-69160","69160","69160","4"
"69162-69162","69162","69162","4"
"69165-69165","69165","69165","4"
"69190-69190","69190","69190","4"
"69301-69301","69301","69301","4"
"69334-69334","69334","69334","4"
"69336-69336","69336","69336","4"
"69341-69341","69341","69341","4"
"69356-69356","69356","69356","4"
"69357-69357","69357","69357","4"
"69361-69361","69361","69361","4"
"69363-69363","69363","69363","4"
