"ZipRange","StartZip","EndZip","Zone"
"49801-49802","49801","49802","4"
"49858-49858","49858","49858","4"
"49870-49870","49870","49870","4"
"49876-49876","49876","49876","4"
"49938-49938","49938","49938","4"
"50001-50099","50001","50099","4"
"50101-50299","50101","50299","3"
"50301-50799","50301","50799","4"
"50801-50899","50801","50899","3"
"50901-51699","50901","51699","4"
"52001-52199","52001","52199","4"
"52201-52899","52201","52899","3"
"53001-53299","53001","53299","4"
"53401-53599","53401","53599","4"
"53701-53799","53701","53799","4"
"53801-53899","53801","53899","3"
"53901-54999","53901","54999","4"
"55001-55199","55001","55199","4"
"55301-55599","55301","55599","4"
"55601-55699","55601","55699","5"
"55701-55799","55701","55799","4"
"55801-55899","55801","55899","5"
"55901-56499","55901","56499","4"
"56501-56799","56501","56799","5"
"57001-57199","57001","57199","4"
"57201-57799","57201","57799","5"
"58001-58799","58001","58799","5"
"58801-58899","58801","58899","6"
"60001-61999","60001","61999","3"
"62001-62099","62001","62099","2"
"62201-62299","62201","62299","2"
"62301-62399","62301","62399","3"
"62401-62999","62401","62999","2"
"63001-63099","63001","63099","2"
"63101-63199","63101","63199","3"
"63301-63399","63301","63399","2"
"64001-64199","64001","64199","3"
"66101-66299","66101","66299","3"
"68001-68199","68001","68199","4"
"68301-68799","68301","68799","4"
"68801-68803","68801","68803","4"
"68818-68818","68818","68818","4"
"68822-68822","68822","68822","4"
"68826-68826","68826","68826","4"
"68845-68845","68845","68845","4"
"68847-68847","68847","68847","4"
"68848-68848","68848","68848","4"
"68849-68849","68849","68849","4"
"68850-68850","68850","68850","4"
"68901-68902","68901","68902","4"
"68949-68949","68949","68949","4"
"68959-68959","68959","68959","4"
"69001-69001","69001","69001","5"
"69101-69101","69101","69101","5"
"69103-69103","69103","69103","5"
"69129-69129","69129","69129","5"
"69130-69130","69130","69130","5"
"69138-69138","69138","69138","5"
"69145-69145","69145","69145","5"
"69153-69153","69153","69153","5"
"69154-69154","69154","69154","5"
"69160-69160","69160","69160","5"
"69162-69162","69162","69162","5"
"69165-69165","69165","69165","5"
"69190-69190","69190","69190","5"
"69301-69301","69301","69301","5"
"69334-69334","69334","69334","5"
"69336-69336","69336","69336","5"
"69341-69341","69341","69341","5"
"69356-69356","69356","69356","5"
"69357-69357","69357","69357","5"
"69361-69361","69361","69361","5"
"69363-69363","69363","69363","5"
