"ZipRange","StartZip","EndZip","Zone"
"49801-49802","49801","49802","5"
"49858-49858","49858","49858","5"
"49870-49870","49870","49870","5"
"49876-49876","49876","49876","5"
"49938-49938","49938","49938","5"
"50001-50599","50001","50599","4"
"50601-50799","50601","50799","5"
"50801-51699","50801","51699","4"
"52001-52099","52001","52099","5"
"52101-52699","52101","52699","4"
"52701-52899","52701","52899","5"
"53001-53299","53001","53299","5"
"53401-53599","53401","53599","5"
"53701-53999","53701","53999","5"
"54001-54099","54001","54099","4"
"54101-54599","54101","54599","5"
"54601-54899","54601","54899","4"
"54901-54999","54901","54999","5"
"55001-55199","55001","55199","4"
"55301-56799","55301","56799","4"
"57001-57299","57001","57299","4"
"57301-57699","57301","57699","3"
"57701-57799","57701","57799","2"
"58001-58599","58001","58599","4"
"58601-58699","58601","58699","3"
"58701-58899","58701","58899","4"
"60001-62099","60001","62099","5"
"62201-62999","62201","62999","5"
"63001-63199","63001","63199","5"
"63301-63399","63301","63399","5"
"64001-64199","64001","64199","4"
"66101-66299","66101","66299","4"
"68001-68199","68001","68199","4"
"68301-68599","68301","68599","4"
"68601-68799","68601","68799","3"
"68801-68803","68801","68803","3"
"68818-68818","68818","68818","3"
"68822-68822","68822","68822","3"
"68826-68826","68826","68826","3"
"68845-68845","68845","68845","3"
"68847-68847","68847","68847","3"
"68848-68848","68848","68848","3"
"68849-68849","68849","68849","3"
"68850-68850","68850","68850","3"
"68901-68902","68901","68902","3"
"68949-68949","68949","68949","3"
"68959-68959","68959","68959","3"
"69001-69001","69001","69001","3"
"69101-69101","69101","69101","2"
"69103-69103","69103","69103","2"
"69129-69129","69129","69129","2"
"69130-69130","69130","69130","2"
"69138-69138","69138","69138","2"
"69145-69145","69145","69145","2"
"69153-69153","69153","69153","2"
"69154-69154","69154","69154","2"
"69160-69160","69160","69160","2"
"69162-69162","69162","69162","2"
"69165-69165","69165","69165","2"
"69190-69190","69190","69190","2"
"69301-69301","69301","69301","2"
"69334-69334","69334","69334","2"
"69336-69336","69336","69336","2"
"69341-69341","69341","69341","2"
"69356-69356","69356","69356","2"
"69357-69357","69357","69357","2"
"69361-69361","69361","69361","2"
"69363-69363","69363","69363","2"
