"ZipRange","StartZip","EndZip","Zone"
"49801-49802","49801","49802","4"
"49858-49858","49858","49858","4"
"49870-49870","49870","49870","4"
"49876-49876","49876","49876","4"
"49938-49938","49938","49938","4"
"50001-50999","50001","50999","3"
"51001-51399","51001","51399","4"
"51401-51699","51401","51699","3"
"52001-52499","52001","52499","3"
"52501-52899","52501","52899","2"
"53001-53299","53001","53299","3"
"53401-53599","53401","53599","3"
"53701-53999","53701","53999","3"
"54001-54599","54001","54599","4"
"54601-54699","54601","54699","3"
"54701-54899","54701","54899","4"
"54901-54999","54901","54999","3"
"55001-55199","55001","55199","4"
"55301-56699","55301","56699","4"
"56701-56799","56701","56799","5"
"57001-57699","57001","57699","4"
"57701-57799","57701","57799","5"
"58001-58199","58001","58199","4"
"58201-58899","58201","58899","5"
"60001-60399","60001","60399","3"
"60401-60599","60401","60599","2"
"60601-60899","60601","60899","3"
"60901-60999","60901","60999","2"
"61001-61199","61001","61199","3"
"61201-62099","61201","62099","2"
"62201-62999","62201","62999","2"
"63001-63199","63001","63199","2"
"63301-63399","63301","63399","2"
"64001-64199","64001","64199","3"
"66101-66299","66101","66299","3"
"68001-68199","68001","68199","4"
"68301-68399","68301","68399","4"
"68401-68499","68401","68499","3"
"68501-68799","68501","68799","4"
"68801-68803","68801","68803","4"
"68818-68818","68818","68818","4"
"68822-68822","68822","68822","4"
"68826-68826","68826","68826","4"
"68845-68845","68845","68845","4"
"68847-68847","68847","68847","4"
"68848-68848","68848","68848","4"
"68849-68849","68849","68849","4"
"68850-68850","68850","68850","4"
"68901-68902","68901","68902","4"
"68949-68949","68949","68949","4"
"68959-68959","68959","68959","4"
"69001-69001","69001","69001","4"
"69101-69101","69101","69101","4"
"69103-69103","69103","69103","4"
"69129-69129","69129","69129","4"
"69130-69130","69130","69130","4"
"69138-69138","69138","69138","4"
"69145-69145","69145","69145","4"
"69153-69153","69153","69153","4"
"69154-69154","69154","69154","4"
"69160-69160","69160","69160","4"
"69162-69162","69162","69162","4"
"69165-69165","69165","69165","4"
"69190-69190","69190","69190","4"
"69301-69301","69301","69301","5"
"69334-69334","69334","69334","5"
"69336-69336","69336","69336","5"
"69341-69341","69341","69341","5"
"69356-69356","69356","69356","5"
"69357-69357","69357","69357","5"
"69361-69361","69361","69361","5"
"69363-69363","69363","69363","5"
