"ZipRange","StartZip","EndZip","Zone"
"49801-49802","49801","49802","3"
"49858-49858","49858","49858","3"
"49870-49870","49870","49870","3"
"49876-49876","49876","49876","3"
"49938-49938","49938","49938","3"
"50001-51499","50001","51499","2"
"51501-51699","51501","51699","3"
"52001-52599","52001","52599","2"
"52601-52799","52601","52799","3"
"52801-52899","52801","52899","2"
"53001-53299","53001","53299","3"
"53401-53599","53401","53599","3"
"53701-53799","53701","53799","3"
"53801-53899","53801","53899","2"
"53901-53999","53901","53999","3"
"54001-54099","54001","54099","2"
"54101-54599","54101","54599","3"
"54601-54799","54601","54799","2"
"54801-54999","54801","54999","3"
"55001-55199","55001","55199","2"
"55301-55599","55301","55599","2"
"55601-55899","55601","55899","3"
"55901-56299","55901","56299","2"
"56301-56699","56301","56699","3"
"56701-56799","56701","56799","4"
"57001-57499","57001","57499","3"
"57501-57799","57501","57799","4"
"58001-58199","58001","58199","3"
"58201-58899","58201","58899","4"
"60001-61799","60001","61799","3"
"61801-62099","61801","62099","4"
"62201-62299","62201","62299","4"
"62301-62399","62301","62399","3"
"62401-62499","62401","62499","4"
"62501-62799","62501","62799","3"
"62801-62999","62801","62999","4"
"63001-63199","63001","63199","4"
"63301-63399","63301","63399","4"
"64001-64199","64001","64199","3"
"66101-66299","66101","66299","3"
"68001-68199","68001","68199","3"
"68301-68799","68301","68799","3"
"68801-68803","68801","68803","3"
"68818-68818","68818","68818","3"
"68822-68822","68822","68822","3"
"68826-68826","68826","68826","3"
"68845-68845","68845","68845","3"
"68847-68847","68847","68847","3"
"68848-68848","68848","68848","3"
"68849-68849","68849","68849","3"
"68850-68850","68850","68850","3"
"68901-68902","68901","68902","3"
"68949-68949","68949","68949","3"
"68959-68959","68959","68959","3"
"69001-69001","69001","69001","4"
"69101-69101","69101","69101","4"
"69103-69103","69103","69103","4"
"69129-69129","69129","69129","4"
"69130-69130","69130","69130","4"
"69138-69138","69138","69138","4"
"69145-69145","69145","69145","4"
"69153-69153","69153","69153","4"
"69154-69154","69154","69154","4"
"69160-69160","69160","69160","4"
"69162-69162","69162","69162","4"
"69165-69165","69165","69165","4"
"69190-69190","69190","69190","4"
"69301-69301","69301","69301","4"
"69334-69334","69334","69334","4"
"69336-69336","69336","69336","4"
"69341-69341","69341","69341","4"
"69356-69356","69356","69356","4"
"69357-69357","69357","69357","4"
"69361-69361","69361","69361","4"
"69363-69363","69363","69363","4"
