ZONE CHART,,,,,,,,,
,,,,,,,,,
UPS Ground/UPS 3 Day Select/UPS 2nd Day Air/UPS 2nd Day Air A.M./UPS Next Day Air Saver/UPS Next Day Air,,,,,,,,,
,,,,,,,,,
For shipments originating in ZIP Codes 135-01 to 135-99. To determine zone,,,,,,,,,
take the first three digits of the receiver's ZIP Code and refer to the chart below:,,,,,,,,,
,,,,,,,,,
ZONES,,,,,,,,,
Dest. ZIP,Ground,3 Day Select,2nd Day Air,2nd Day Air A.M.,Next Day Air Saver,Next Day Air,,,
188,002,302,202,242,132,102,,,
189,003,303,203,243,133,103,,,
190,003,303,203,243,133,103,,,
191,003,303,203,243,133,103,,,
192,003,303,203,243,133,103,,,
193,003,303,203,243,133,103,,,
194,003,303,203,243,133,103,,,
195,003,303,203,243,133,103,,,
196,003,303,203,243,133,103,,,
197,003,303,203,243,133,103,,,
198,003,303,203,243,133,103,,,
199,003,303,203,243,133,103,,,
200,004,304,204,244,134,104,,,
201,004,304,204,244,134,104,,,
202,004,304,204,244,134,104,,,
203,004,304,204,244,134,104,,,
204,004,304,204,244,134,104,,,
205,004,304,204,244,134,104,,,
206,003,303,203,243,133,103,,,
207,003,303,203,243,133,103,,,
208,003,303,203,243,133,103,,,
209,004,304,204,244,134,104,,,
210,003,303,203,243,133,103,,,
211,003,303,203,243,133,103,,,
212,003,303,203,243,133,103,,,
214,003,303,203,243,133,103,,,
215,003,303,203,243,133,103,,,
216,003,303,203,243,133,103,,,
217,003,303,203,243,133,103,,,
218,004,304,204,244,134,104,,,
219,003,303,203,243,133,103,,,
220,004,304,204,244,134,104,,,
221,004,304,204,244,134,104,,,
222,004,304,204,244,134,104,,,
223,004,304,204,244,134,104,,,
224,004,304,204,244,134,104,,,
225,004,304,204,244,134,104,,,
226,003,303,203,243,133,103,,,
227,004,304,204,244,134,104,,,
228,004,304,204,244,134,104,,,
229,004,304,204,244,134,104,,,
230,004,304,204,244,134,104,,,
231,004,304,204,244,134,104,,,
232,004,304,204,244,134,104,,,
233,004,304,204,244,134,104,,,
234,004,304,204,244,134,104,,,
235,004,304,204,244,134,104,,,
236,004,304,204,244,134,104,,,
237,004,304,204,244,134,104,,,
238,004,304,204,244,134,104,,,
239,004,304,204,244,134,104,,,
240,004,304,204,244,134,104,,,
241,004,304,204,244,134,104,,,
242,004,304,204,244,134,104,,,
243,004,304,204,244,134,104,,,
244,004,304,204,244,134,104,,,
245,004,304,204,244,134,104,,,
246,004,304,204,244,134,104,,,
247,004,304,204,244,134,104,,,
248,004,304,204,244,134,104,,,
249,004,304,204,244,134,104,,,
250,004,304,204,244,134,104,,,
251,004,304,204,244,134,104,,,
252,004,304,204,244,134,104,,,
253,004,304,204,244,134,104,,,
254,003,303,203,243,133,103,,,
255,004,304,204,244,134,104,,,
256,004,304,204,244,134,104,,,
257,004,304,204,244,134,104,,,
258,004,304,204,244,134,104,,,
259,004,304,204,244,134,104,,,
260,004,304,204,244,134,104,,,
261,004,304,204,244,134,104,,,
262,004,304,204,244,134,104,,,
263,004,304,204,244,134,104,,,
264,004,304,204,244,134,104,,,
265,004,304,204,244,134,104,,,
266,004,304,204,244,134,104,,,
267,003,303,203,243,133,103,,,
268,004,304,204,244,134,104,,,
270,004,304,204,244,134,104,,,
271,004,304,204,244,134,104,,,
272,004,304,204,244,134,104,,,
273,004,304,204,244,134,104,,,
274,004,304,204,244,134,104,,,
275,004,304,204,244,134,104,,,
276,004,304,204,244,134,104,,,
277,004,304,204,244,134,104,,,
278,004,304,204,244,134,104,,,
279,004,304,204,244,134,104,,,
280,005,305,205,245,135,105,,,
281,005,305,205,245,135,105,,,
282,005,305,205,245,135,105,,,
283,004,304,204,244,134,104,,,
284,005,305,205,245,135,105,,,
285,004,304,204,244,134,104,,,
286,004,304,204,244,134,104,,,
287,005,305,205,245,135,105,,,
288,005,305,205,245,135,105,,,
289,005,305,205,245,135,105,,,
290,005,305,205,245,135,105,,,
291,005,305,205,245,135,105,,,
292,005,305,205,245,135,105,,,
293,005,305,205,245,135,105,,,
294,005,305,205,245,135,105,,,
295,005,305,205,245,135,105,,,
296,005,305,205,245,135,105,,,
297,005,305,205,245,135,105,,,
298,005,305,205,245,135,105,,,
299,005,305,205,245,135,105,,,
300,005,305,205,245,135,105,,,
301,005,305,205,245,135,105,,,
302,005,305,205,245,135,105,,,
303,005,305,205,245,135,105,,,
304,005,305,205,245,135,105,,,
305,005,305,205,245,135,105,,,
306,005,305,205,245,135,105,,,
307,005,305,205,245,135,105,,,
308,005,305,205,245,135,105,,,
309,005,305,205,245,135,105,,,
310,005,305,205,245,135,105,,,
311,005,305,205,245,135,105,,,
312,005,305,205,245,135,105,,,
313,005,305,205,245,135,105,,,
314,005,305,205,245,135,105,,,
315,005,305,205,245,135,105,,,
316,005,305,205,245,135,105,,,
317,005,305,205,245,135,105,,,
318,005,305,205,245,135,105,,,
319,005,305,205,245,135,105,,,
320,005,305,205,245,135,105,,,
321,005,305,205,245,135,105,,,
322,005,305,205,245,135,105,,,
323,006,306,206,246,136,106,,,
324,006,306,206,246,136,106,,,
325,006,306,206,246,136,106,,,
326,005,305,205,245,135,105,,,
327,006,306,206,246,136,106,,,
328,006,306,206,246,136,106,,,
329,006,306,206,246,136,106,,,
330,006,306,206,246,136,106,,,
331,006,306,206,246,136,106,,,
332,006,306,206,246,136,106,,,
333,006,306,206,246,136,106,,,
334,006,306,206,246,136,106,,,
335,006,306,206,246,136,106,,,
336,006,306,206,246,136,106,,,
337,006,306,206,246,136,106,,,
338,006,306,206,246,136,106,,,
339,006,306,206,246,136,106,,,
341,006,306,206,246,136,106,,,
342,006,306,206,246,136,106,,,
344,005,305,205,245,135,105,,,
346,006,306,206,246,136,106,,,
347,006,306,206,246,136,106,,,
349,006,306,206,246,136,106,,,
350,005,305,205,245,135,105,,,
351,005,305,205,245,135,105,,,
352,005,305,205,245,135,105,,,
354,005,305,205,245,135,105,,,
355,005,305,205,245,135,105,,,
356,005,305,205,245,135,105,,,
357,005,305,205,245,135,105,,,
358,005,305,205,245,135,105,,,
359,005,305,205,245,135,105,,,
360,005,305,205,245,135,105,,,
361,005,305,205,245,135,105,,,
362,005,305,205,245,135,105,,,
363,005,305,205,245,135,105,,,
364,006,306,206,246,136,106,,,
365,006,306,206,246,136,106,,,
366,006,306,206,246,136,106,,,
367,005,305,205,245,135,105,,,
368,005,305,205,245,135,105,,,
369,006,306,206,246,136,106,,,
370,005,305,205,245,135,105,,,
371,005,305,205,245,135,105,,,
372,005,305,205,245,135,105,,,
373,005,305,205,245,135,105,,,
374,005,305,205,245,135,105,,,
375,005,305,205,245,135,105,,,
376,004,304,204,244,134,104,,,
377,005,305,205,245,135,105,,,
378,005,305,205,245,135,105,,,
379,005,305,205,245,135,105,,,
380,005,305,205,245,135,105,,,
381,005,305,205,245,135,105,,,
382,005,305,205,245,135,105,,,
383,005,305,205,245,135,105,,,
384,005,305,205,245,135,105,,,
385,005,305,205,245,135,105,,,
386,005,305,205,245,135,105,,,
387,006,306,206,246,136,106,,,
388,005,305,205,245,135,105,,,
389,005,305,205,245,135,105,,,
390,006,306,206,246,136,106,,,
391,006,306,206,246,136,106,,,
392,006,306,206,246,136,106,,,
393,006,306,206,246,136,106,,,
394,006,306,206,246,136,106,,,
395,006,306,206,246,136,106,,,
396,006,306,206,246,136,106,,,
397,005,305,205,245,135,105,,,
398,005,305,205,245,135,105,,,
399,005,305,205,245,135,105,,,
400,005,305,205,245,135,105,,,
401,005,305,205,245,135,105,,,
402,005,305,205,245,135,105,,,
403,004,304,204,244,134,104,,,
404,004,304,204,244,134,104,,,
405,004,304,204,244,134,104,,,
406,004,304,204,244,134,104,,,
407,005,305,205,245,135,105,,,
408,005,305,205,245,135,105,,,
409,005,305,205,245,135,105,,,
410,004,304,204,244,134,104,,,
411,004,304,204,244,134,104,,,
412,004,304,204,244,134,104,,,
413,004,304,204,244,134,104,,,
414,004,304,204,244,134,104,,,
415,004,304,204,244,134,104,,,
416,004,304,204,244,134,104,,,
417,004,304,204,244,134,104,,,
418,004,304,204,244,134,104,,,
420,005,305,205,245,135,105,,,
421,005,305,205,245,135,105,,,
422,005,305,205,245,135,105,,,
423,005,305,205,245,135,105,,,
424,005,305,205,245,135,105,,,
425,005,305,205,245,135,105,,,
426,005,305,205,245,135,105,,,
427,005,305,205,245,135,105,,,
430,004,304,204,244,134,104,,,
431,004,304,204,244,134,104,,,
432,004,304,204,244,134,104,,,
433,004,304,204,244,134,104,,,
434,004,304,204,244,134,104,,,
435,004,304,204,244,134,104,,,
436,004,304,204,244,134,104,,,
437,004,304,204,244,134,104,,,
438,004,304,204,244,134,104,,,
439,004,304,204,244,134,104,,,
440,004,304,204,244,134,104,,,
441,004,304,204,244,134,104,,,
442,004,304,204,244,134,104,,,
443,004,304,204,244,134,104,,,
444,003,303,203,243,133,103,,,
445,003,303,203,243,133,103,,,
446,004,304,204,244,134,104,,,
447,004,304,204,244,134,104,,,
448,004,304,204,244,134,104,,,
449,004,304,204,244,134,104,,,
450,004,304,204,244,134,104,,,
451,004,304,204,244,134,104,,,
452,004,304,204,244,134,104,,,
453,004,304,204,244,134,104,,,
454,004,304,204,244,134,104,,,
455,004,304,204,244,134,104,,,
456,004,304,204,244,134,104,,,
457,004,304,204,244,134,104,,,
458,004,304,204,244,134,104,,,
459,004,304,204,244,134,104,,,
